,Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),air temperature at 80m (C),wind speed at 100m (m/s),air temperature at 100m (C)
0,2012,1,1,0,0,13.13,7.09,14.47,7.18
1,2012,1,1,0,30,13.38,7.13,14.7,7.21
2,2012,1,1,1,0,12.96,7.04,14.32,7.12
3,2012,1,1,1,30,12.18,6.78,13.44,6.8500000000000005
4,2012,1,1,2,0,11.8,6.53,12.96,6.6000000000000005
5,2012,1,1,2,30,11.41,6.24,12.56,6.29
6,2012,1,1,3,0,11.84,5.41,12.99,5.3500000000000005
7,2012,1,1,3,30,11.72,4.3,12.78,4.17
8,2012,1,1,4,0,11.47,3.26,12.47,3.11
9,2012,1,1,4,30,12.61,3.2,13.24,3.0
10,2012,1,1,5,0,12.35,2.69,12.93,2.49
11,2012,1,1,5,30,12.6,2.32,13.2,2.12
12,2012,1,1,6,0,11.94,2.15,12.7,1.98
13,2012,1,1,6,30,12.83,2.12,13.69,1.95
14,2012,1,1,7,0,13.26,1.77,14.11,1.61
15,2012,1,1,7,30,13.54,1.53,14.42,1.37
16,2012,1,1,8,0,14.87,1.3,15.64,1.12
17,2012,1,1,8,30,13.1,1.08,14.09,0.88
18,2012,1,1,9,0,13.83,0.92,14.34,0.71
19,2012,1,1,9,30,14.74,0.94,15.19,0.72
20,2012,1,1,10,0,14.79,0.99,15.2,0.77
21,2012,1,1,10,30,14.03,1.21,14.4,0.99
22,2012,1,1,11,0,13.64,1.37,14.01,1.14
23,2012,1,1,11,30,13.08,1.66,13.46,1.44
24,2012,1,1,12,0,13.5,1.95,13.91,1.72
25,2012,1,1,12,30,14.07,2.15,14.48,1.92
26,2012,1,1,13,0,14.47,2.19,14.9,1.96
27,2012,1,1,13,30,15.0,2.12,15.44,1.89
28,2012,1,1,14,0,14.64,2.19,15.08,1.97
29,2012,1,1,14,30,14.59,2.26,15.06,2.05
30,2012,1,1,15,0,14.24,2.32,14.71,2.11
31,2012,1,1,15,30,14.22,2.22,14.74,2.02
32,2012,1,1,16,0,13.04,2.02,13.7,1.84
33,2012,1,1,16,30,11.99,1.72,12.88,1.57
34,2012,1,1,17,0,11.16,1.39,12.19,1.28
35,2012,1,1,17,30,10.39,1.08,11.34,0.98
36,2012,1,1,18,0,12.46,0.98,13.49,0.87
37,2012,1,1,18,30,11.81,0.55,12.9,0.46
