Duration_hr,Power_MW,Technology,Year,Fixed O&M ($/kW-year),LCOS ($/kWh),LCOS_Project_Life (yrs),RTE (%),Total Installed Cost ($),Total Installed Cost ($/kW),Total Installed Cost ($/kWh)
2,100,Lithium-ion LFP,2023,2.56,0.1964,25.0,0.83,84601000.0,846.01,423.0
4,100,Lithium-ion LFP,2023,4.27,0.1813,25.0,0.83,149089000.0,1490.89,372.72
6,100,Lithium-ion LFP,2023,5.96,0.1773,25.0,0.83,215816000.0,2158.16,359.69
8,100,Thermal,2023,32.17,0.1732,34.0,0.5,280651000.0,2806.51,350.81
10,100,Lithium-ion LFP,2023,9.33,0.1743,26.0,0.83,349067000.0,3490.67,349.07
24,100,Thermal,2023,47.69,0.2311,34.0,0.48,405334000.0,4053.34,168.89
100,100,Thermal,2023,102.08,0.4082,34.0,0.47,808829000.0,8088.29,80.88
2,100,Lithium-ion LFP,2030,2.17,0.1651,20.0,0.85,67477000.0,674.77,337.38
4,100,Lithium-ion LFP,2030,3.62,0.1504,20.0,0.85,116240000.0,1162.4,290.6
6,100,Lithium-ion LFP,2030,5.05,0.1465,20.0,0.85,167164000.0,1671.64,278.61
8,100,Lithium-ion LFP,2030,6.48,0.1444,20.0,0.85,217744000.0,2177.44,272.18
10,100,Lithium-ion LFP,2030,7.89,0.142,21.0,0.85,269000000.0,2690.0,269.0
24,100,Thermal,2030,43.73,0.2073,34.0,0.51,371702000.0,3717.02,154.88
100,100,Thermal,2030,93.99,0.3557,34.0,0.5,720823000.0,7208.23,72.08
